,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2012-01-31,2338938.805534138,1613696.7369320365,1684562.7848367179,2338938.8055341374,2338938.8055341374,-690677.9421381026,-690677.9421381026,-690677.9421381026,-690677.9421381026,-690677.9421381026,-690677.9421381026,0.0,0.0,0.0,1648260.8633960353
1,2012-02-29,2340820.0000004107,1289873.322878253,1366923.0507880645,2340820.0000004107,2340820.0000004107,-1014181.2190843327,-1014181.2190843327,-1014181.2190843327,-1014181.2190843327,-1014181.2190843327,-1014181.2190843327,0.0,0.0,0.0,1326638.780916078
2,2012-03-31,2342830.932016081,1990733.8221069563,2062455.780172645,2342830.932016081,2342830.932016081,-316029.04371681035,-316029.04371681035,-316029.04371681035,-316029.04371681035,-316029.04371681035,-316029.04371681035,0.0,0.0,0.0,2026801.8882992708
3,2012-04-30,2344776.9952694653,2420681.8574839965,2497260.897401236,2344776.9952694653,2344776.9952694653,114182.96943493852,114182.96943493852,114182.96943493852,114182.96943493852,114182.96943493852,114182.96943493852,0.0,0.0,0.0,2458959.9647044037
4,2012-05-31,2346787.9272979624,2707264.8350500353,2781281.431382141,2346787.9272979624,2346787.9272979624,397047.08150058094,397047.08150058094,397047.08150058094,397047.08150058094,397047.08150058094,397047.08150058094,0.0,0.0,0.0,2743835.0087985434
5,2012-06-30,2348737.28337605,3065446.2535299836,3136436.044946949,2348737.28337605,2348737.28337605,750924.8766893339,750924.8766893339,750924.8766893339,750924.8766893339,750924.8766893339,750924.8766893339,0.0,0.0,0.0,3099662.160065384
6,2012-07-31,2350751.6179900747,3409473.5116896643,3491364.0800976213,2350751.6179900747,2350751.6179900747,1100054.910961346,1100054.910961346,1100054.910961346,1100054.910961346,1100054.910961346,1100054.910961346,0.0,0.0,0.0,3450806.5289514204
7,2012-08-31,2352765.9526040987,2893781.651329509,2966069.319918945,2352765.9526040987,2352765.9526040987,578639.697850811,578639.697850811,578639.697850811,578639.697850811,578639.697850811,578639.697850811,0.0,0.0,0.0,2931405.6504549095
8,2012-09-30,2357267.9485805896,2369905.1231848807,2449849.76345902,2357267.9485805896,2357267.9485805896,51792.99771542265,51792.99771542265,51792.99771542265,51792.99771542265,51792.99771542265,51792.99771542265,0.0,0.0,0.0,2409060.946296012
9,2012-10-31,2361920.0110896304,1958109.0892256678,2037660.1814713075,2361920.0110896304,2361920.0110896304,-365913.34934063273,-365913.34934063273,-365913.34934063273,-365913.34934063273,-365913.34934063273,-365913.34934063273,0.0,0.0,0.0,1996006.6617489976
10,2012-11-30,2366422.0070195487,1797809.9216374748,1875561.6960412168,2366422.0070195487,2366422.0070195487,-530868.9762308048,-530868.9762308048,-530868.9762308048,-530868.9762308048,-530868.9762308048,-530868.9762308048,0.0,0.0,0.0,1835553.0307887439
11,2012-12-31,2371074.069480465,2160226.587202637,2231798.0315715694,2371074.069480465,2371074.069480465,-175816.5305238973,-175816.5305238973,-175816.5305238973,-175816.5305238973,-175816.5305238973,-175816.5305238973,0.0,0.0,0.0,2195257.5389565676
12,2013-01-31,2375726.132011591,1660696.4370959466,1735816.6521778686,2375726.132011591,2375726.132011591,-677140.2685102033,-677140.2685102033,-677140.2685102033,-677140.2685102033,-677140.2685102033,-677140.2685102033,0.0,0.0,0.0,1698585.8635013876
13,2013-02-28,2379927.9949429315,1317640.3811604835,1391061.617550313,2379927.9949429315,2379927.9949429315,-1024878.5975964265,-1024878.5975964265,-1024878.5975964265,-1024878.5975964265,-1024878.5975964265,-1024878.5975964265,0.0,0.0,0.0,1355049.397346505
14,2013-03-31,2384580.057250922,2042605.7103339478,2112598.5575153907,2384580.057250922,2384580.057250922,-309391.6273108511,-309391.6273108511,-309391.6273108511,-309391.6273108511,-309391.6273108511,-309391.6273108511,0.0,0.0,0.0,2075188.429940071
15,2013-04-30,2389082.0530328485,2451371.3622742807,2526232.549385677,2389082.0530328485,2389082.0530328485,99963.72794734545,99963.72794734545,99963.72794734545,99963.72794734545,99963.72794734545,99963.72794734545,0.0,0.0,0.0,2489045.780980194
16,2013-05-31,2393734.115340839,2767302.799391146,2840519.5115140267,2393734.115340839,2393734.115340839,410662.9524182112,410662.9524182112,410662.9524182112,410662.9524182112,410662.9524182112,410662.9524182112,0.0,0.0,0.0,2804397.0677590505
17,2013-06-30,2398236.111191398,3100277.455147307,3177126.4423647714,2398236.111191398,2398236.111191398,740040.4057337061,740040.4057337061,740040.4057337061,740040.4057337061,740040.4057337061,740040.4057337061,0.0,0.0,0.0,3138276.516925104
18,2013-07-31,2402888.1735703098,3478272.4290712676,3553102.1377130514,2402888.1735703098,2402888.1735703098,1111615.9632795402,1111615.9632795402,1111615.9632795402,1111615.9632795402,1111615.9632795402,1111615.9632795402,0.0,0.0,0.0,3514504.13684985
19,2013-08-31,2407540.235957552,2942758.5279461453,3014585.3249997124,2407540.235957552,2407540.235957552,571074.9303553256,571074.9303553256,571074.9303553256,571074.9303553256,571074.9303553256,571074.9303553256,0.0,0.0,0.0,2978615.166312878
20,2013-09-30,2412042.231816174,2423250.86775287,2499052.1764539713,2412042.231816174,2412042.231816174,47853.84845450187,47853.84845450187,47853.84845450187,47853.84845450187,47853.84845450187,47853.84845450187,0.0,0.0,0.0,2459896.080270676
21,2013-10-31,2416694.2068982334,2019818.0238122141,2092815.0697901864,2416694.206898233,2416694.206898233,-360838.56646739924,-360838.56646739924,-360838.56646739924,-360838.56646739924,-360838.56646739924,-360838.56646739924,0.0,0.0,0.0,2055855.6404308341
22,2013-11-30,2421196.118267968,1861646.4614529738,1939206.494869893,2421196.118267968,2421196.118267968,-519122.6195175702,-519122.6195175702,-519122.6195175702,-519122.6195175702,-519122.6195175702,-519122.6195175702,0.0,0.0,0.0,1902073.4987503977
23,2013-12-31,2425836.6350869155,2217364.649123483,2293884.5833077757,2425836.6350869155,2425836.6350869155,-169464.11420756826,-169464.11420756826,-169464.11420756826,-169464.11420756826,-169464.11420756826,-169464.11420756826,0.0,0.0,0.0,2256372.5208793473
24,2014-01-31,2430477.1519058635,1712450.280026708,1785542.041889516,2430477.1519058635,2430477.1519058635,-681387.254850459,-681387.254850459,-681387.254850459,-681387.254850459,-681387.254850459,-681387.254850459,0.0,0.0,0.0,1749089.8970554045
25,2014-02-28,2434668.58645201,1361353.0883229496,1437593.1737851915,2434668.58645201,2434668.58645201,-1035186.9970788222,-1035186.9970788222,-1035186.9970788222,-1035186.9970788222,-1035186.9970788222,-1035186.9970788222,0.0,0.0,0.0,1399481.5893731879
26,2014-03-31,2438634.6865917123,2098522.0145497206,2172560.2718016463,2438634.6865917123,2438634.6865917123,-302713.576504179,-302713.576504179,-302713.576504179,-302713.576504179,-302713.576504179,-302713.576504179,0.0,0.0,0.0,2135921.1100875335
27,2014-04-30,2442472.8480172306,2490944.4767837953,2568644.6374299517,2442472.8480172306,2442472.8480172306,85851.7145396837,85851.7145396837,85851.7145396837,85851.7145396837,85851.7145396837,85851.7145396837,0.0,0.0,0.0,2528324.5625569145
28,2014-05-31,2446418.6479188637,2835407.3673559087,2907456.2507462692,2446418.6479188637,2446418.6479188637,424340.00374873716,424340.00374873716,424340.00374873716,424340.00374873716,424340.00374873716,424340.00374873716,0.0,0.0,0.0,2870758.651667601
29,2014-06-30,2450237.1639527017,3142218.041974769,3217025.784065826,2450237.1639527017,2450237.1639527017,729054.3513296334,729054.3513296334,729054.3513296334,729054.3513296334,729054.3513296334,729054.3513296334,0.0,0.0,0.0,3179291.515282335
30,2014-07-31,2454182.7839023173,3540131.355421458,3613724.2724793516,2454182.7839023173,2454182.7839023173,1122887.4843450235,1122887.4843450235,1122887.4843450235,1122887.4843450235,1122887.4843450235,1122887.4843450235,0.0,0.0,0.0,3577070.268247341
31,2014-08-31,2458128.4038519333,2983431.8660039087,3057256.122400921,2458128.4038519333,2458128.4038519333,563295.776769726,563295.776769726,563295.776769726,563295.776769726,563295.776769726,563295.776769726,0.0,0.0,0.0,3021424.1806216594
32,2014-09-30,2461946.7457340825,2471353.623254134,2543659.4461092064,2461946.7457340825,2461946.7457340825,44191.406428646886,44191.406428646886,44191.406428646886,44191.406428646886,44191.406428646886,44191.406428646886,0.0,0.0,0.0,2506138.1521627293
33,2014-10-31,2465892.3656789702,2072887.1699200652,2146385.7126386897,2465892.3656789702,2465892.3656789702,-355379.9796697432,-355379.9796697432,-355379.9796697432,-355379.9796697432,-355379.9796697432,-355379.9796697432,0.0,0.0,0.0,2110512.386009227
34,2014-11-30,2469710.70756112,1927903.2011490574,2001072.8124299818,2469710.70756112,2469710.70756112,-507288.51679412613,-507288.51679412613,-507288.51679412613,-507288.51679412613,-507288.51679412613,-507288.51679412613,0.0,0.0,0.0,1962422.190766994
35,2014-12-31,2473656.327511295,2275231.0548020196,2347439.28470999,2473656.327511295,2473656.327511295,-163598.29878059673,-163598.29878059673,-163598.29878059673,-163598.29878059673,-163598.29878059673,-163598.29878059673,0.0,0.0,0.0,2310058.0287306984
36,2015-01-31,2477601.947461471,1755687.8899202382,1830285.3116696053,2477601.947461471,2477601.947461471,-685903.7383514907,-685903.7383514907,-685903.7383514907,-685903.7383514907,-685903.7383514907,-685903.7383514907,0.0,0.0,0.0,1791698.2091099801
37,2015-02-28,2481165.733291398,1398583.7256233944,1472158.8294117863,2481165.733291398,2481165.733291398,-1045096.2538879238,-1045096.2538879238,-1045096.2538879238,-1045096.2538879238,-1045096.2538879238,-1045096.2538879238,0.0,0.0,0.0,1436069.479403474
38,2015-03-31,2485111.3533173883,2152776.0015349938,2225697.9692230993,2485111.3533173883,2485111.3533173883,-296003.28112735983,-296003.28112735983,-296003.28112735983,-296003.28112735983,-296003.28112735983,-296003.28112735983,0.0,0.0,0.0,2189108.0721900286
39,2015-04-30,2488929.695277971,2523701.9222545982,2598309.253469198,2488929.695277971,2488929.695277971,71852.342348256,71852.342348256,71852.342348256,71852.342348256,71852.342348256,71852.342348256,0.0,0.0,0.0,2560782.0376262274
40,2015-05-31,2492875.3153039073,2894784.722240322,2965747.9172251015,2492875.3153039073,2492875.3153039073,438063.3303802862,438063.3303802862,438063.3303802862,438063.3303802862,438063.3303802862,438063.3303802862,0.0,0.0,0.0,2930938.6456841934
41,2015-06-30,2496693.6573150023,3173984.088285442,3252742.677880229,2496693.6573150023,2496693.6573150023,717968.373051319,717968.373051319,717968.373051319,717968.373051319,717968.373051319,717968.373051319,0.0,0.0,0.0,3214662.030366321
42,2015-07-31,2500639.2773931343,3594780.2182534207,3670844.958817486,2500639.2773931343,2500639.2773931343,1133863.0183186901,1133863.0183186901,1133863.0183186901,1133863.0183186901,1133863.0183186901,1133863.0183186901,0.0,0.0,0.0,3634502.2957118247
43,2015-08-31,2504584.897471266,3022567.1398033453,3098056.4917259775,2504584.897471266,2504584.897471266,555317.3379096359,555317.3379096359,555317.3379096359,555317.3379096359,555317.3379096359,555317.3379096359,0.0,0.0,0.0,3059902.235380902
44,2015-09-30,2508403.239404955,2511860.088516855,2588432.039384229,2508403.239404955,2508403.239404955,40817.061307593816,40817.061307593816,40817.061307593816,40817.061307593816,40817.061307593816,40817.061307593816,0.0,0.0,0.0,2549220.3007125487
45,2015-10-31,2512348.8594031,2125879.9803014807,2197465.5706128916,2512348.8594031,2512348.8594031,-349542.33169769484,-349542.33169769484,-349542.33169769484,-349542.33169769484,-349542.33169769484,-349542.33169769484,0.0,0.0,0.0,2162806.527705405
46,2015-11-30,2516167.2013197937,1984034.0751164388,2058606.997924232,2516167.2013197937,2516167.2013197937,-495385.3300416216,-495385.3300416216,-495385.3300416216,-495385.3300416216,-495385.3300416216,-495385.3300416216,0.0,0.0,0.0,2020781.8712781721
47,2015-12-31,2520112.8213003767,2326350.6864012787,2402738.625886787,2520112.8213003767,2520112.8213003767,-158226.92436083974,-158226.92436083974,-158226.92436083974,-158226.92436083974,-158226.92436083974,-158226.92436083974,0.0,0.0,0.0,2361885.896939537
48,2016-01-31,2524059.1383573874,1794460.5125535615,1873648.2214474473,2524059.1383573874,2524059.1383573874,-690677.9421381166,-690677.9421381166,-690677.9421381166,-690677.9421381166,-690677.9421381166,-690677.9421381166,0.0,0.0,0.0,1833381.1962192708
49,2016-02-29,2527750.8543139454,1475290.029158192,1551757.9099630583,2527750.8543139454,2527750.8543139454,-1014181.2190842042,-1014181.2190842042,-1014181.2190842042,-1014181.2190842042,-1014181.2190842042,-1014181.2190842042,0.0,0.0,0.0,1513569.6352297412
50,2016-03-31,2532418.976042888,2178677.569981542,2251748.7906058864,2532418.976042888,2532418.976042888,-316029.04371679435,-316029.04371679435,-316029.04371679435,-316029.04371679435,-316029.04371679435,-316029.04371679435,0.0,0.0,0.0,2216389.932326094
51,2016-04-30,2536936.513199929,2613027.5600186754,2684277.341133071,2536936.513199929,2536936.513199929,114182.96943499599,114182.96943499599,114182.96943499599,114182.96943499599,114182.96943499599,114182.96943499599,0.0,0.0,0.0,2651119.4826349253
52,2016-05-31,2541604.6349288714,2897898.119977737,2977432.965934985,2541604.6349288714,2541604.6349288714,397047.08150057937,397047.08150057937,397047.08150057937,397047.08150057937,397047.08150057937,397047.08150057937,0.0,0.0,0.0,2938651.7164294505
53,2016-06-30,2546124.597399227,3259037.6223092936,3334212.8242798806,2546124.597399227,2546124.597399227,750924.8766893144,750924.8766893144,750924.8766893144,750924.8766893144,750924.8766893144,750924.8766893144,0.0,0.0,0.0,3297049.474088541
54,2016-07-31,2550795.225285261,3614524.112364243,3688388.3830114743,2550795.225285261,2550795.225285261,1100054.9109613998,1100054.9109613998,1100054.9109613998,1100054.9109613998,1100054.9109613998,1100054.9109613998,0.0,0.0,0.0,3650850.1362466607
55,2016-08-31,2555465.853334927,3097222.020093385,3171828.4512708094,2555465.853334927,2555465.853334927,578639.6978508342,578639.6978508342,578639.6978508342,578639.6978508342,578639.6978508342,578639.6978508342,0.0,0.0,0.0,3134105.551185761
56,2016-09-30,2559985.815963636,2574767.729028467,2648494.361343656,2559985.815963636,2559985.815963636,51792.997715456724,51792.997715456724,51792.997715456724,51792.997715456724,51792.997715456724,51792.997715456724,0.0,0.0,0.0,2611778.813679093
57,2016-10-31,2564656.444407889,2161101.0158807985,2235311.23236314,2564656.4444078887,2564656.4444078887,-365913.34934067965,-365913.34934067965,-365913.34934067965,-365913.34934067965,-365913.34934067965,-365913.34934067965,0.0,0.0,0.0,2198743.0950672096
58,2016-11-30,2569176.4074184564,2000253.18828592,2075880.1480263912,2569176.4074184564,2569176.4074184564,-530868.9762307632,-530868.9762307632,-530868.9762307632,-530868.9762307632,-530868.9762307632,-530868.9762307632,0.0,0.0,0.0,2038307.431187693
59,2016-12-31,2573847.035862709,2361496.333812555,2437993.8108530897,2573847.035862709,2573847.035862709,-175816.5305239059,-175816.5305239059,-175816.5305239059,-175816.5305239059,-175816.5305239059,-175816.5305239059,0.0,0.0,0.0,2398030.505338803
60,2017-01-31,2578517.6643069615,1864757.7418925192,1939350.8840122449,2578517.6643069615,2578517.6643069615,-677140.2685102322,-677140.2685102322,-677140.2685102322,-677140.2685102322,-677140.2685102322,-677140.2685102322,0.0,0.0,0.0,1901377.3957967293
61,2017-02-28,2582736.2964501576,1519016.9777581033,1597439.3401938193,2582736.2964501576,2582736.2964501576,-1024878.5975964926,-1024878.5975964926,-1024878.5975964926,-1024878.5975964926,-1024878.5975964926,-1024878.5975964926,0.0,0.0,0.0,1557857.698853665
62,2017-03-31,2587406.92489441,2240627.7478840332,2316859.777666783,2587406.92489441,2587406.92489441,-309391.62731083,-309391.62731083,-309391.62731083,-309391.62731083,-309391.62731083,-309391.62731083,0.0,0.0,0.0,2278015.29758358
63,2017-04-30,2591926.8879049774,2655978.2301144176,2732034.0926013235,2591926.8879049774,2591926.8879049774,99963.7279473565,99963.7279473565,99963.7279473565,99963.7279473565,99963.7279473565,99963.7279473565,0.0,0.0,0.0,2691890.615852334
64,2017-05-31,2596597.51634923,2969712.3710908717,3046917.933986024,2596597.51634923,2596597.51634923,410662.9524182102,410662.9524182102,410662.9524182102,410662.9524182102,410662.9524182102,410662.9524182102,0.0,0.0,0.0,3007260.46876744
65,2017-06-30,2601117.479359797,3303390.9603558336,3378748.7686561826,2601117.479359797,2601117.479359797,740040.4057337639,740040.4057337639,740040.4057337639,740040.4057337639,740040.4057337639,740040.4057337639,0.0,0.0,0.0,3341157.8850935614
