,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
21,2013-10-31,2416694.2068982334,2018774.1528123608,2090874.445178636,2416694.206898233,2416694.206898233,-360838.56646739924,-360838.56646739924,-360838.56646739924,-360838.56646739924,-360838.56646739924,-360838.56646739924,0.0,0.0,0.0,2055855.6404308341
22,2013-11-30,2421196.118267968,1864656.2374491978,1939996.6672711296,2421196.118267968,2421196.118267968,-519122.6195175702,-519122.6195175702,-519122.6195175702,-519122.6195175702,-519122.6195175702,-519122.6195175702,0.0,0.0,0.0,1902073.4987503977
23,2013-12-31,2425836.6350869155,2221741.044234362,2294113.893254138,2425836.6350869155,2425836.6350869155,-169464.11420756826,-169464.11420756826,-169464.11420756826,-169464.11420756826,-169464.11420756826,-169464.11420756826,0.0,0.0,0.0,2256372.5208793473
24,2014-01-31,2430477.1519058635,1713197.1630997318,1789180.2602598104,2430477.1519058635,2430477.1519058635,-681387.254850459,-681387.254850459,-681387.254850459,-681387.254850459,-681387.254850459,-681387.254850459,0.0,0.0,0.0,1749089.8970554045
25,2014-02-28,2434668.58645201,1364100.3087993965,1438992.765721259,2434668.58645201,2434668.58645201,-1035186.9970788222,-1035186.9970788222,-1035186.9970788222,-1035186.9970788222,-1035186.9970788222,-1035186.9970788222,0.0,0.0,0.0,1399481.5893731879
26,2014-03-31,2438634.6865917123,2098536.7466479847,2169820.097288027,2438634.6865917123,2438634.6865917123,-302713.576504179,-302713.576504179,-302713.576504179,-302713.576504179,-302713.576504179,-302713.576504179,0.0,0.0,0.0,2135921.1100875335
27,2014-04-30,2442472.8480172306,2492530.4363851254,2564514.4639813425,2442472.8480172306,2442472.8480172306,85851.7145396837,85851.7145396837,85851.7145396837,85851.7145396837,85851.7145396837,85851.7145396837,0.0,0.0,0.0,2528324.5625569145
28,2014-05-31,2446418.6479188637,2835743.343277256,2907034.098703095,2446418.6479188637,2446418.6479188637,424340.00374873716,424340.00374873716,424340.00374873716,424340.00374873716,424340.00374873716,424340.00374873716,0.0,0.0,0.0,2870758.651667601
29,2014-06-30,2450237.1639527017,3145002.7522579967,3218360.073331508,2450237.1639527017,2450237.1639527017,729054.3513296334,729054.3513296334,729054.3513296334,729054.3513296334,729054.3513296334,729054.3513296334,0.0,0.0,0.0,3179291.515282335
30,2014-07-31,2454182.7839023173,3538679.5694907084,3613067.444924609,2454182.7839023173,2454182.7839023173,1122887.4843450235,1122887.4843450235,1122887.4843450235,1122887.4843450235,1122887.4843450235,1122887.4843450235,0.0,0.0,0.0,3577070.268247341
31,2014-08-31,2458128.4038519333,2983708.300949498,3061619.046758946,2458128.4038519333,2458128.4038519333,563295.776769726,563295.776769726,563295.776769726,563295.776769726,563295.776769726,563295.776769726,0.0,0.0,0.0,3021424.1806216594
32,2014-09-30,2461946.7457340825,2467024.8716615345,2541565.8329740465,2461946.7457340825,2461946.7457340825,44191.406428646886,44191.406428646886,44191.406428646886,44191.406428646886,44191.406428646886,44191.406428646886,0.0,0.0,0.0,2506138.1521627293
33,2014-10-31,2465892.3656789702,2073378.8220898625,2149595.99570723,2465892.3656789702,2465892.3656789702,-355379.9796697432,-355379.9796697432,-355379.9796697432,-355379.9796697432,-355379.9796697432,-355379.9796697432,0.0,0.0,0.0,2110512.386009227
34,2014-11-30,2469710.70756112,1925654.4364900156,2000697.1437691457,2469710.70756112,2469710.70756112,-507288.51679412613,-507288.51679412613,-507288.51679412613,-507288.51679412613,-507288.51679412613,-507288.51679412613,0.0,0.0,0.0,1962422.190766994
35,2014-12-31,2473656.327511295,2273247.9588785674,2346635.982327644,2473656.327511295,2473656.327511295,-163598.29878059673,-163598.29878059673,-163598.29878059673,-163598.29878059673,-163598.29878059673,-163598.29878059673,0.0,0.0,0.0,2310058.0287306984
36,2015-01-31,2477601.947461471,1756737.7293093503,1831396.038049422,2477601.947461471,2477601.947461471,-685903.7383514907,-685903.7383514907,-685903.7383514907,-685903.7383514907,-685903.7383514907,-685903.7383514907,0.0,0.0,0.0,1791698.2091099801
37,2015-02-28,2481165.733291398,1403260.4005244772,1475187.8221837797,2481165.733291398,2481165.733291398,-1045096.2538879238,-1045096.2538879238,-1045096.2538879238,-1045096.2538879238,-1045096.2538879238,-1045096.2538879238,0.0,0.0,0.0,1436069.479403474
38,2015-03-31,2485111.3533173883,2154318.4091972075,2228333.4118731422,2485111.3533173883,2485111.3533173883,-296003.28112735983,-296003.28112735983,-296003.28112735983,-296003.28112735983,-296003.28112735983,-296003.28112735983,0.0,0.0,0.0,2189108.0721900286
39,2015-04-30,2488929.695277971,2525453.234695836,2600703.7908525565,2488929.695277971,2488929.695277971,71852.342348256,71852.342348256,71852.342348256,71852.342348256,71852.342348256,71852.342348256,0.0,0.0,0.0,2560782.0376262274
40,2015-05-31,2492875.3153039073,2894685.0367738553,2965751.875451998,2492875.3153039073,2492875.3153039073,438063.3303802862,438063.3303802862,438063.3303802862,438063.3303802862,438063.3303802862,438063.3303802862,0.0,0.0,0.0,2930938.6456841934
41,2015-06-30,2496693.6573150023,3177573.59922511,3254802.1112735635,2496693.6573150023,2496693.6573150023,717968.373051319,717968.373051319,717968.373051319,717968.373051319,717968.373051319,717968.373051319,0.0,0.0,0.0,3214662.030366321
42,2015-07-31,2500639.2773931343,3596656.3530610534,3670611.353712587,2500639.2773931343,2500639.2773931343,1133863.0183186901,1133863.0183186901,1133863.0183186901,1133863.0183186901,1133863.0183186901,1133863.0183186901,0.0,0.0,0.0,3634502.2957118247
43,2015-08-31,2504584.897471266,3023894.250361908,3096252.923091263,2504584.897471266,2504584.897471266,555317.3379096359,555317.3379096359,555317.3379096359,555317.3379096359,555317.3379096359,555317.3379096359,0.0,0.0,0.0,3059902.235380902
44,2015-09-30,2508403.239404955,2509945.1724959076,2584652.215733654,2508403.239404955,2508403.239404955,40817.061307593816,40817.061307593816,40817.061307593816,40817.061307593816,40817.061307593816,40817.061307593816,0.0,0.0,0.0,2549220.3007125487
45,2015-10-31,2512348.8594031,2127434.828782255,2200382.7194664315,2512348.8594031,2512348.8594031,-349542.33169769484,-349542.33169769484,-349542.33169769484,-349542.33169769484,-349542.33169769484,-349542.33169769484,0.0,0.0,0.0,2162806.527705405
46,2015-11-30,2516167.2013197937,1983600.925054579,2058482.1096236387,2516167.2013197937,2516167.2013197937,-495385.3300416216,-495385.3300416216,-495385.3300416216,-495385.3300416216,-495385.3300416216,-495385.3300416216,0.0,0.0,0.0,2020781.8712781721
47,2015-12-31,2520112.8213003767,2323826.1902560936,2397735.4381125453,2520112.8213003767,2520112.8213003767,-158226.92436083974,-158226.92436083974,-158226.92436083974,-158226.92436083974,-158226.92436083974,-158226.92436083974,0.0,0.0,0.0,2361885.896939537
48,2016-01-31,2524059.1383573874,1798546.9302430677,1866668.5222675754,2524059.1383573874,2524059.1383573874,-690677.9421381166,-690677.9421381166,-690677.9421381166,-690677.9421381166,-690677.9421381166,-690677.9421381166,0.0,0.0,0.0,1833381.1962192708
