,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2012-01-31,2338938.805534138,1610176.6047397936,1686121.274907171,2338938.8055341374,2338938.8055341374,-690677.9421381026,-690677.9421381026,-690677.9421381026,-690677.9421381026,-690677.9421381026,-690677.9421381026,0.0,0.0,0.0,1648260.8633960353
1,2012-02-29,2340820.0000004107,1290736.1894928848,1368476.4833815636,2340820.0000004107,2340820.0000004107,-1014181.2190843327,-1014181.2190843327,-1014181.2190843327,-1014181.2190843327,-1014181.2190843327,-1014181.2190843327,0.0,0.0,0.0,1326638.780916078
2,2012-03-31,2342830.932016081,1991323.4793240293,2064761.7384922365,2342830.932016081,2342830.932016081,-316029.04371681035,-316029.04371681035,-316029.04371681035,-316029.04371681035,-316029.04371681035,-316029.04371681035,0.0,0.0,0.0,2026801.8882992708
3,2012-04-30,2344776.9952694653,2421467.6543634245,2496974.957611993,2344776.9952694653,2344776.9952694653,114182.96943493852,114182.96943493852,114182.96943493852,114182.96943493852,114182.96943493852,114182.96943493852,0.0,0.0,0.0,2458959.9647044037
4,2012-05-31,2346787.9272979624,2704415.0448569935,2779483.149695758,2346787.9272979624,2346787.9272979624,397047.08150058094,397047.08150058094,397047.08150058094,397047.08150058094,397047.08150058094,397047.08150058094,0.0,0.0,0.0,2743835.0087985434
5,2012-06-30,2348737.28337605,3062073.629230336,3133501.2470951825,2348737.28337605,2348737.28337605,750924.8766893339,750924.8766893339,750924.8766893339,750924.8766893339,750924.8766893339,750924.8766893339,0.0,0.0,0.0,3099662.160065384
6,2012-07-31,2350751.6179900747,3413431.6909446623,3488999.982269375,2350751.6179900747,2350751.6179900747,1100054.910961346,1100054.910961346,1100054.910961346,1100054.910961346,1100054.910961346,1100054.910961346,0.0,0.0,0.0,3450806.5289514204
7,2012-08-31,2352765.9526040987,2894535.81767361,2968358.5292180637,2352765.9526040987,2352765.9526040987,578639.697850811,578639.697850811,578639.697850811,578639.697850811,578639.697850811,578639.697850811,0.0,0.0,0.0,2931405.6504549095
8,2012-09-30,2357267.9485805896,2370208.08891561,2445850.49888019,2357267.9485805896,2357267.9485805896,51792.99771542265,51792.99771542265,51792.99771542265,51792.99771542265,51792.99771542265,51792.99771542265,0.0,0.0,0.0,2409060.946296012
9,2012-10-31,2361920.0110896304,1955836.1985270346,2035013.2865258395,2361920.0110896304,2361920.0110896304,-365913.34934063273,-365913.34934063273,-365913.34934063273,-365913.34934063273,-365913.34934063273,-365913.34934063273,0.0,0.0,0.0,1996006.6617489976
